post_id,user_id,text
0,1,"wow such a cool picture"
0,0,"i really like this post"
0,1,"What a beautiful scenery!"
0,0,"I agree, nature is stunning."
0,2,"Just saw this post. Awesome!"
0,3,"Amazing shot! 🌟"
0,4,"This is breathtaking! 😍"
1,1,"This is an amazing post!"
1,0,"Nice shot! 📸"
1,1,"Just posted a new photo. Check it out!"
1,2,"Love the composition!"
1,3,"Great work on this one."
1,4,"Impressive capture! 👏"
2,1,"Impressive work!"
2,1,"Another great post!"
2,0,"Captivating image!"
2,1,"I'm loving your content!"
2,0,"Stunning visual storytelling."
2,2,"Great job on the details!"
2,3,"This deserves more likes!"
3,2,"Such a unique perspective!"
3,3,"The colors are so vibrant!"
3,4,"Beautiful moment captured!"
3,5,"Well done! 👍"
4,4,"Awesome composition!"
4,5,"This is truly special."
4,6,"I can feel the emotion."
4,7,"Great storytelling!"
5,6,"Fantastic shot!"
5,7,"The lighting is perfect."
5,8,"I love the mood in this."
5,9,"You have a great eye!"
6,0,"Nice use of filters!"
6,1,"This is so artistic."
6,2,"Brilliant editing!"
6,3,"Well done! 🌟"
7,1,"Captivating scene!"
7,2,"Great choice of subject."
7,3,"This is so calming."
7,4,"Lovely composition."
8,2,"Beautifully captured!"
8,3,"The details are amazing."
8,4,"This is pure art."
8,5,"Well done! 👏"
9,5,"Excellent perspective!"
9,6,"The colors are stunning."
9,7,"You nailed this shot."
9,8,"Fantastic photo!"
10,7,"Great framing!"
10,8,"I love the mood in this."
10,9,"Well done! 📸"
11,0,"Beautiful shot!"
11,1,"This is picture-perfect."
11,2,"I can't stop admiring this."
11,3,"Great job capturing this!"
12,3,"Impressive shot!"
12,4,"You have a great talent."
12,5,"Well composed!"
12,6,"This deserves more recognition!"
13,7,"Fantastic capture!"
13,8,"This is truly unique."
13,9,"Great storytelling!"
14,0,"Awesome composition!"
14,1,"The colors are vibrant."
14,2,"This is truly special."
14,3,"Well done! 👍"
15,4,"Fantastic shot!"
15,5,"The details are amazing."
15,6,"Brilliant editing!"
15,7,"Well done! 🌟"
16,8,"Captivating scene!"
16,9,"Great choice of subject."
16,0,"This is so calming."
16,1,"Lovely composition."
17,2,"Beautifully captured!"
17,3,"The details are amazing."
17,4,"This is pure art."
17,5,"Well done! 👏"
18,6,"Excellent perspective!"
18,7,"The colors are stunning."
18,8,"You nailed this shot."
18,9,"Fantastic photo!"
19,0,"Great framing!"
19,1,"I love the mood in this."
19,2,"Well done! 📸"
20,3,"Beautiful shot!"
20,4,"This is picture-perfect."
20,5,"I can't stop admiring this."
20,6,"Great job capturing this!"
21,7,"Impressive shot!"
21,8,"You have a great talent."
21,9,"Well composed!"
21,0,"This deserves more recognition!"
22,1,"Fantastic capture!"
22,2,"This is truly unique."
22,3,"Great storytelling!"
23,4,"Awesome composition!"
23,5,"The colors are vibrant."
23,6,"This is truly special."
23,7,"Well done! 👍"
24,8,"Fantastic shot!"
24,9,"The details are amazing."
24,0,"Brilliant editing!"
24,1,"Well done! 🌟"
25,2,"Captivating scene!"
25,3,"Great choice of subject."
25,4,"This is so calming."
25,5,"Lovely composition."
26,6,"Beautifully captured!"
26,7,"The details are amazing."
26,8,"This is pure art."
26,9,"Well done! 👏"
27,0,"Excellent perspective!"
27,1,"The colors are stunning."
27,2,"You nailed this shot."
27,3,"Fantastic photo!"
28,4,"Great framing!"
28,5,"I love the mood in this."
28,6,"Well done! 📸"
29,7,"Beautiful shot!"
29,8,"This is picture-perfect."
29,9,"I can't stop admiring this."
29,0,"Great job capturing this!"
30,1,"Impressive shot!"
30,2,"You have a great talent."
30,3,"Well composed!"
30,4,"This deserves more recognition!"
31,5,"Fantastic capture!"
31,6,"This is truly unique."
31,7,"Great storytelling!"
32,8,"Awesome composition!"
32,9,"The colors are vibrant."
32,0,"This is truly special."
32,1,"Well done! 👍"
33,2,"Fantastic shot!"
33,3,"The details are amazing."
33,4,"Brilliant editing!"
33,5,"Well done! 🌟"
34,6,"Captivating scene!"
34,7,"Great choice of subject."
34,8,"This is so calming."
34,9,"Lovely composition."
35,0,"Beautifully captured!"
35,1,"The details are amazing."
35,2,"This is pure art."
35,3,"Well done! 👏"
36,4,"Excellent perspective!"
36,5,"The colors are stunning."
36,6,"You nailed this shot."
36,7,"Fantastic photo!"
37,8,"Great framing!"
37,9,"I love the mood in this."
37,0,"Well done! 📸"
38,1,"Beautiful shot!"
38,2,"This is picture-perfect."
38,3,"I can't stop admiring this."
38,4,"Great job capturing this!"
39,5,"Impressive shot!"
39,6,"You have a great talent."
39,7,"Well composed!"
39,8,"This deserves more recognition!"
40,9,"Fantastic capture!"
40,0,"This is truly unique."
40,1,"Great storytelling!"
41,2,"Awesome composition!"
41,3,"The colors are vibrant."
41,4,"This is truly special."
41,5,"Well done! 👍"
42,6,"Fantastic shot!"
42,7,"The details are amazing."
42,8,"Brilliant editing!"
42,9,"Well done! 🌟"
43,0,"Captivating scene!"
43,1,"Great choice of subject."
43,2,"This is so calming."
43,3,"Lovely composition."
